,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
0,mjkroslin,,Lmfao so hand sanitizer is sold out in almost all of Denmark cus of corona virus panic. Bitchhhhh I’m stealing a ton from work today,0,0,0,1233374063487266818,https://twitter.com/mjkroslin/status/1233374063487266818,18733714,2020-02-28 12:51:06+00:00,Fri Feb 28 12:51:06 +0000 2020,,,,
1,sebdor,,"Messer bliver lukket og rejser frarådes: Vi mangler bare at sprede rygtet om at Corona-virus spredes gennem bilkabiner, så er den det bedste, der er sket for klimaet i årevis.",0,3,0,1233373019248250880,https://twitter.com/sebdor/status/1233373019248250880,23944317,2020-02-28 12:46:57+00:00,Fri Feb 28 12:46:57 +0000 2020,,,,
2,TraubertTom,,"Yo iría apostando 5 euritos a que la palabra del año para la @fundeu será ""coronavirus"".",0,0,0,1233371522070466562,https://twitter.com/TraubertTom/status/1233371522070466562,1232046022093934595,2020-02-28 12:41:00+00:00,Fri Feb 28 12:41:00 +0000 2020,,@Fundeu,,
3,Nandeette,,Solo falta que este año Incubus vuelva a cancelar por el corona virus ,0,0,0,1233371341799198720,https://twitter.com/Nandeette/status/1233371341799198720,49225988,2020-02-28 12:40:17+00:00,Fri Feb 28 12:40:17 +0000 2020,,,,
4,vaccinationDK,,Pressemeddelelse: Info om Corona Covid-19 virus samt behandlingsprotokol! Sendt til DK-pressen samt sundhedsstyrelsen. Mvh Vaccinationsforum. @kristeligt @ebbreaking @btdk @tv2danmark @dr2tv @DRBreaking @informeren @tv2newsdk @DRNyheder @berlingske @jyllandsposten @politiken,0,0,0,1233370948725878784,https://twitter.com/vaccinationDK/status/1233370948725878784,1126877508442443776,2020-02-28 12:38:43+00:00,Fri Feb 28 12:38:43 +0000 2020,,@kristeligt @ebbreaking @btdk @tv2danmark @dr2tv @DRBreaking @informeren @tv2newsdk @DRNyheder @berlingske @jyllandsposten @politiken,,
5,mariam_zakarian,mariam_zakarian,"Referring to the Corona virus, of course.",0,0,0,1233370655250427904,https://twitter.com/mariam_zakarian/status/1233370655250427904,28774126,2020-02-28 12:37:33+00:00,Fri Feb 28 12:37:33 +0000 2020,,,,
6,bolddk,,Coronavirus aflyser alle kampe i Schweiz https://www.bold.dk/fodbold/nyheder/coronavirus-aflyser-alle-kampe-i-schweiz/ #SuperLeague #ChallengeLeague,0,0,0,1233370018437640192,https://twitter.com/bolddk/status/1233370018437640192,102153075,2020-02-28 12:35:01+00:00,Fri Feb 28 12:35:01 +0000 2020,#SuperLeague #ChallengeLeague,,,https://www.bold.dk/fodbold/nyheder/coronavirus-aflyser-alle-kampe-i-schweiz/
7,mariam_zakarian,,"2002, China, SARS 2003, China, bird flu 2009, Mexico, swine flu 2012, Saudi Arabia, MERS (Corona) 2014, West Africa, Ebola 2015, Brazil, Zika-virus 2019, China, Corona virus #COVID2019 #FactsMatter",1,0,1,1233368505925488642,https://twitter.com/mariam_zakarian/status/1233368505925488642,28774126,2020-02-28 12:29:01+00:00,Fri Feb 28 12:29:01 +0000 2020,#COVID2019 #FactsMatter,,,
8,HerlevPortal,,Coronavirus https://ift.tt/2vddT7P,0,0,0,1233367821792489473,https://twitter.com/HerlevPortal/status/1233367821792489473,2589290384,2020-02-28 12:26:18+00:00,Fri Feb 28 12:26:18 +0000 2020,,,,https://ift.tt/2vddT7P
9,tipsbladet,,Schweiziske kampe udskydes af frygt for coronavirus ,0,0,0,1233367545757011971,https://twitter.com/tipsbladet/status/1233367545757011971,19444073,2020-02-28 12:25:12+00:00,Fri Feb 28 12:25:12 +0000 2020,,,,https://www.tipsbladet.dk/nyhed/generelle/schweiziske-kampe-udskydes-af-frygt-coronavirus
